
; Distancia (Mpc) ; Nome da galaxia1 ; Massa1 ($M_\odot$) ; Idade1 (Gyr) ; redshift1 ; Nome da galaxia2 ; Massa2 ($M_\odot$) ; Idade2 (Gyr) ; redshift2 ; Criterio ;
; 31.2 ; NGC 5061 ; $2.2 \times 10^{11}$ ; 12.0 ; 0.00689 ; NGC 5078 ; $1.4 \times 10^{11}$ ; 8.0 ; 0.00723 ; 1 ;
; 31.2 ; NGC 5061 ; $2.2 \times 10^{11}$ ; 12.0 ; 0.00689 ; NGC 5101 ; $8.0 \times 10^{10}$ ; 9.5 ; 0.00623 ; 0 ;
; 23.0 ; NGC 1407 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00593 ; NGC 1453 ; $1.1 \times 10^{11}$ ; 11.5 ; 0.01305 ; 1 ;
; 23.0 ; NGC 1407 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00593 ; IC 1959 ; $8.0 \times 10^{8}$ ; 4.0 ; 0.00445 ; 0 ;
; 23.0 ; NGC 1395 ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00573 ; IC 1962 ; $1.5 \times 10^{9}$ ; 4.5 ; 0.00591 ; 1 ;
; 16.5 ; NGC 4438 ; $7.0 \times 10^{10}$ ; 9.0 ; 0.00023 ; IC 3349 ; $3.5 \times 10^{8}$ ; 4.0 ; 0.00311 ; 1 ;
; 16.5 ; NGC 4459 ; $7.0 \times 10^{10}$ ; 8.5 ; 0.00397 ; IC 3499 ; $9.0 \times 10^{8}$ ; 5.5 ; 0.00522 ; 1 ;
; 16.5 ; NGC 4473 ; $8.0 \times 10^{10}$ ; 11.5 ; 0.00748 ; IC 3524 ; $5.0 \times 10^{8}$ ; 4.5 ; 0.00491 ; 0 ;
; 16.5 ; NGC 4477 ; $1.0 \times 10^{11}$ ; 11.0 ; 0.00446 ; IC 3542 ; $7.0 \times 10^{8}$ ; 5.0 ; 0.00588 ; 1 ;
; 16.5 ; NGC 4501 (M88) ; $2.5 \times 10^{11}$ ; 10.0 ; 0.00761 ; IC 3562 ; $1.2 \times 10^{9}$ ; 5.0 ; 0.00694 ; 0 ;
; 16.5 ; NGC 4548 (M91) ; $1.0 \times 10^{11}$ ; 9.0 ; 0.00162 ; IC 3602 ; $4.5 \times 10^{8}$ ; 3.5 ; 0.00244 ; 1 ;
; 16.5 ; NGC 4569 (M90) ; $2.0 \times 10^{11}$ ; 10.5 ; -0.00078 ; IC 3647 ; $6.0 \times 10^{8}$ ; 4.0 ; 0.00112 ; 1 ;
; 16.5 ; NGC 4579 (M58) ; $1.8 \times 10^{11}$ ; 11.0 ; 0.00506 ; IC 3665 ; $1.1 \times 10^{9}$ ; 6.0 ; 0.00395 ; 0 ;
; 16.5 ; NGC 4621 (M59) ; $2.0 \times 10^{11}$ ; 12.0 ; 0.00157 ; IC 3682 ; $8.0 \times 10^{8}$ ; 5.5 ; 0.00521 ; 1 ;
; 16.5 ; NGC 4639 ; $3.5 \times 10^{10}$ ; 8.5 ; 0.00339 ; IC 3727 ; $5.0 \times 10^{8}$ ; 3.5 ; 0.00392 ; 1 ;
; 16.5 ; NGC 4654 ; $4.5 \times 10^{10}$ ; 7.5 ; 0.00349 ; IC 3768 ; $1.4 \times 10^{9}$ ; 4.0 ; 0.00299 ; 0 ;
; 50.0 ; NGC 7619 ; $6.0 \times 10^{11}$ ; 12.5 ; 0.01254 ; NGC 7617 ; $4.0 \times 10^{10}$ ; 10.0 ; 0.01311 ; 1 ;
; 50.0 ; NGC 7619 ; $6.0 \times 10^{11}$ ; 12.5 ; 0.01254 ; NGC 7626 ; $5.0 \times 10^{11}$ ; 12.0 ; 0.01135 ; 0 ;
; 50.0 ; NGC 7619 ; $6.0 \times 10^{11}$ ; 12.5 ; 0.01254 ; NGC 7631 ; $3.5 \times 10^{10}$ ; 7.5 ; 0.01242 ; 0 ;
; 50.0 ; NGC 7626 ; $5.0 \times 10^{11}$ ; 12.0 ; 0.01135 ; NGC 7611 ; $5.0 \times 10^{10}$ ; 9.5 ; 0.01072 ; 0 ;
; 50.0 ; NGC 7626 ; $5.0 \times 10^{11}$ ; 12.0 ; 0.01135 ; NGC 7608 ; $2.2 \times 10^{10}$ ; 6.0 ; 0.01174 ; 1 ;
; 50.0 ; NGC 7562 ; $3.0 \times 10^{11}$ ; 11.5 ; 0.01211 ; NGC 7557 ; $1.5 \times 10^{9}$ ; 5.0 ; 0.01264 ; 1 ;
; 32.0 ; NGC 5353 ; $3.2 \times 10^{11}$ ; 12.0 ; 0.00775 ; NGC 5354 ; $2.0 \times 10^{11}$ ; 11.0 ; 0.00790 ; 1 ;
; 32.0 ; NGC 5353 ; $3.2 \times 10^{11}$ ; 12.0 ; 0.00775 ; NGC 5350 ; $8.0 \times 10^{10}$ ; 8.5 ; 0.00773 ; 0 ;
; 32.0 ; NGC 5353 ; $3.2 \times 10^{11}$ ; 12.0 ; 0.00775 ; NGC 5355 ; $1.2 \times 10^{10}$ ; 9.0 ; 0.00784 ; 1 ;
; 16.5 ; NGC 4660 ; $3.0 \times 10^{10}$ ; 11.0 ; 0.00361 ; IC 3726 ; $3.0 \times 10^{8}$ ; 4.5 ; 0.00411 ; 1 ;
; 16.5 ; NGC 4350 ; $9.0 \times 10^{10}$ ; 11.5 ; 0.00398 ; IC 3259 ; $1.6 \times 10^{9}$ ; 5.0 ; 0.00465 ; 1 ;
; 16.5 ; NGC 4371 ; $6.0 \times 10^{10}$ ; 10.5 ; 0.00312 ; IC 3294 ; $9.5 \times 10^{8}$ ; 4.0 ; 0.00288 ; 0 ;
; 16.5 ; NGC 4417 ; $2.2 \times 10^{10}$ ; 9.0 ; 0.00276 ; IC 3311 ; $4.0 \times 10^{8}$ ; 3.5 ; 0.00199 ; 0 ;
; 16.5 ; NGC 4425 ; $1.2 \times 10^{10}$ ; 7.5 ; 0.00631 ; IC 3322A ; $2.0 \times 10^{9}$ ; 4.5 ; 0.00511 ; 0 ;
; 16.5 ; NGC 4442 ; $7.0 \times 10^{10}$ ; 10.5 ; 0.00182 ; IC 3354 ; $6.5 \times 10^{8}$ ; 5.5 ; 0.00213 ; 1 ;
; 16.5 ; NGC 4476 ; $5.0 \times 10^{9}$ ; 10.5 ; 0.00661 ; IC 3415 ; $3.0 \times 10^{8}$ ; 3.0 ; 0.00712 ; 1 ;
; 16.5 ; NGC 4494 ; $8.0 \times 10^{10}$ ; 9.5 ; 0.00448 ; IC 3462 ; $5.5 \times 10^{8}$ ; 4.0 ; 0.00494 ; 1 ;
; 16.5 ; NGC 4550 ; $1.5 \times 10^{10}$ ; 8.0 ; 0.00145 ; IC 3555 ; $4.0 \times 10^{8}$ ; 3.5 ; 0.00168 ; 1 ;
; 16.5 ; NGC 4564 ; $3.2 \times 10^{10}$ ; 11.5 ; 0.00381 ; IC 3581 ; $7.0 \times 10^{8}$ ; 4.5 ; 0.00322 ; 0 ;
; 16.5 ; NGC 4606 ; $1.4 \times 10^{10}$ ; 7.0 ; 0.00377 ; IC 3634 ; $5.0 \times 10^{8}$ ; 4.0 ; 0.00395 ; 1 ;
; 16.5 ; NGC 4612 ; $1.2 \times 10^{10}$ ; 9.5 ; 0.00592 ; IC 3649 ; $3.5 \times 10^{8}$ ; 3.5 ; 0.00623 ; 1 ;
; 16.5 ; NGC 4627 ; $1.5 \times 10^{9}$ ; 7.5 ; 0.00181 ; IC 3688 ; $2.0 \times 10^{8}$ ; 4.0 ; 0.00224 ; 1 ;
; 16.5 ; NGC 4638 ; $2.5 \times 10^{10}$ ; 10.0 ; 0.00384 ; IC 3733 ; $4.0 \times 10^{8}$ ; 4.5 ; 0.00311 ; 0 ;
; 16.5 ; NGC 4643 ; $8.0 \times 10^{10}$ ; 10.0 ; 0.00445 ; IC 3756 ; $6.5 \times 10^{8}$ ; 5.0 ; 0.00491 ; 1 ;
; 16.5 ; NGC 4647 ; $2.0 \times 10^{10}$ ; 5.0 ; 0.00470 ; IC 3792 ; $1.8 \times 10^{8}$ ; 3.0 ; 0.00435 ; 0 ;
; 16.5 ; NGC 4668 ; $5.0 \times 10^{9}$ ; 5.0 ; 0.00531 ; IC 3803 ; $2.5 \times 10^{8}$ ; 3.5 ; 0.00582 ; 1 ;
; 20.0 ; NGC 1374 ; $4.0 \times 10^{10}$ ; 11.0 ; 0.00441 ; IC 1913 ; $1.5 \times 10^{9}$ ; 5.0 ; 0.00465 ; 1 ;
; 20.0 ; NGC 1381 ; $3.5 \times 10^{10}$ ; 10.5 ; 0.00575 ; IC 1919 ; $3.0 \times 10^{9}$ ; 6.0 ; 0.00512 ; 0 ;
; 20.0 ; NGC 1326 ; $3.0 \times 10^{10}$ ; 7.0 ; 0.00454 ; NGC 1326B ; $1.2 \times 10^{9}$ ; 4.0 ; 0.00334 ; 0 ;
; 10.5 ; M105 ; $1.0 \times 10^{11}$ ; 12.5 ; 0.00304 ; NGC 3373 ; $8.0 \times 10^{9}$ ; 6.5 ; 0.00288 ; 0 ;
; 10.5 ; M96 ; $8.0 \times 10^{10}$ ; 10.0 ; 0.00299 ; NGC 3412 ; $3.0 \times 10^{10}$ ; 9.0 ; 0.00281 ; 0 ;
; 10.5 ; NGC 3384 ; $4.0 \times 10^{10}$ ; 9.0 ; 0.00247 ; AGC 210741 ; $5.0 \times 10^{7}$ ; 2.5 ; 0.00294 ; 1 ;
; 16.5 ; NGC 4260 ; $5.0 \times 10^{10}$ ; 10.0 ; 0.00612 ; VCC 144 ; $1.2 \times 10^{8}$ ; 4.0 ; 0.00652 ; 1 ;
; 16.5 ; NGC 4269 ; $1.8 \times 10^{10}$ ; 11.0 ; 0.00843 ; VCC 223 ; $9.0 \times 10^{7}$ ; 4.5 ; 0.00799 ; 0 ;
; 16.5 ; NGC 4281 ; $4.5 \times 10^{10}$ ; 11.0 ; 0.00889 ; VCC 312 ; $3.0 \times 10^{8}$ ; 5.5 ; 0.00912 ; 1 ;
; 16.5 ; NGC 4323 ; $2.0 \times 10^{9}$ ; 5.0 ; 0.00582 ; VCC 542 ; $1.5 \times 10^{8}$ ; 3.5 ; 0.00531 ; 0 ;
; 16.5 ; NGC 4328 ; $3.0 \times 10^{9}$ ; 7.0 ; 0.00481 ; VCC 596 ; $8.0 \times 10^{7}$ ; 4.0 ; 0.00511 ; 1 ;
; 16.5 ; NGC 4465 ; $3.5 \times 10^{9}$ ; 6.0 ; 0.00302 ; VCC 1192 ; $1.1 \times 10^{8}$ ; 3.0 ; 0.00354 ; 1 ;
; 16.5 ; NGC 4467 ; $1.2 \times 10^{9}$ ; 8.5 ; 0.00465 ; VCC 1211 ; $7.0 \times 10^{7}$ ; 4.5 ; 0.00412 ; 0 ;
; 16.5 ; NGC 4478 ; $1.8 \times 10^{10}$ ; 8.0 ; 0.00464 ; VCC 1321 ; $2.2 \times 10^{8}$ ; 3.5 ; 0.00499 ; 1 ;
; 16.5 ; NGC 4365 ; $3.0 \times 10^{11}$ ; 11.0 ; 0.00415 ; NGC 4366 ; $2.0 \times 10^{9}$ ; 6.0 ; 0.00431 ; 1 ;
; 16.5 ; NGC 4365 ; $3.0 \times 10^{11}$ ; 11.0 ; 0.00415 ; NGC 4370 ; $1.5 \times 10^{10}$ ; 8.5 ; 0.00381 ; 0 ;
; 16.5 ; NGC 4636 ; $3.0 \times 10^{11}$ ; 12.5 ; 0.00355 ; NGC 4636A ; $1.0 \times 10^{9}$ ; 5.5 ; 0.00390 ; 1 ;
; 16.5 ; NGC 4636 ; $3.0 \times 10^{11}$ ; 12.5 ; 0.00355 ; NGC 4586 ; $2.2 \times 10^{10}$ ; 6.5 ; 0.00262 ; 0 ;
; 20.0 ; NGC 1399 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00475 ; NGC 1406 ; $1.8 \times 10^{10}$ ; 7.0 ; 0.00345 ; 0 ;
; 20.0 ; NGC 1399 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00475 ; NGC 1437 ; $2.5 \times 10^{10}$ ; 6.0 ; 0.00481 ; 1 ;
; 20.0 ; NGC 1316 ; $6.0 \times 10^{11}$ ; 12.0 ; 0.00587 ; IC 1908 ; $8.0 \times 10^{8}$ ; 4.5 ; 0.00612 ; 1 ;
; 18.6 ; NGC 3992 ; $2.2 \times 10^{11}$ ; 10.0 ; 0.00349 ; NGC 3938 ; $8.0 \times 10^{10}$ ; 7.0 ; 0.00269 ; 0 ;
; 18.6 ; NGC 3992 ; $2.2 \times 10^{11}$ ; 10.0 ; 0.00349 ; NGC 4088 ; $9.0 \times 10^{10}$ ; 6.5 ; 0.00252 ; 0 ;
; 18.6 ; NGC 3631 ; $9.0 \times 10^{10}$ ; 9.5 ; 0.00386 ; NGC 3656 ; $3.5 \times 10^{10}$ ; 8.0 ; 0.00411 ; 1 ;
; 15.2 ; NGC 4565 ; $1.5 \times 10^{11}$ ; 10.5 ; 0.00410 ; NGC 4562 ; $4.0 \times 10^{9}$ ; 5.0 ; 0.00451 ; 1 ;
; 15.2 ; NGC 4414 ; $1.0 \times 10^{11}$ ; 10.0 ; 0.00239 ; NGC 4359 ; $5.0 \times 10^{9}$ ; 5.5 ; 0.00418 ; 1 ;
; 23.0 ; NGC 1407 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00593 ; NGC 1414 ; $6.0 \times 10^{9}$ ; 5.0 ; 0.00551 ; 0 ;
; 23.0 ; NGC 1407 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00593 ; NGC 1422 ; $1.4 \times 10^{10}$ ; 6.5 ; 0.00542 ; 0 ;
; 23.0 ; NGC 1395 ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00573 ; NGC 1371 ; $9.0 \times 10^{10}$ ; 8.5 ; 0.00489 ; 0 ;
; 23.0 ; NGC 1395 ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00573 ; NGC 1357 ; $5.0 \times 10^{10}$ ; 9.0 ; 0.00674 ; 1 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; NGC 5014 ; $1.1 \times 10^{10}$ ; 7.5 ; 0.00371 ; 0 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; NGC 5035 ; $3.0 \times 10^{10}$ ; 10.0 ; 0.00941 ; 1 ;
; 50.0 ; NGC 7619 ; $6.0 \times 10^{11}$ ; 12.5 ; 0.01254 ; NGC 7604 ; $5.0 \times 10^{9}$ ; 4.5 ; 0.01322 ; 1 ;
; 50.0 ; NGC 7619 ; $6.0 \times 10^{11}$ ; 12.5 ; 0.01254 ; NGC 7562A ; $1.2 \times 10^{9}$ ; 5.0 ; 0.01210 ; 0 ;
; 22.5 ; NGC 3607 ; $1.5 \times 10^{11}$ ; 11.5 ; 0.00314 ; NGC 3626 ; $3.5 \times 10^{10}$ ; 7.0 ; 0.00491 ; 1 ;
; 22.5 ; NGC 3607 ; $1.5 \times 10^{11}$ ; 11.5 ; 0.00314 ; NGC 3599 ; $6.0 \times 10^{9}$ ; 5.5 ; 0.00270 ; 0 ;
; 22.5 ; NGC 3608 ; $8.0 \times 10^{10}$ ; 11.0 ; 0.00392 ; IC 678 ; $1.2 \times 10^{9}$ ; 4.0 ; 0.00424 ; 1 ;
; 16.5 ; NGC 4261 ; $4.5 \times 10^{11}$ ; 12.5 ; 0.00737 ; NGC 4264 ; $1.0 \times 10^{10}$ ; 9.0 ; 0.00831 ; 1 ;
; 16.5 ; NGC 4261 ; $4.5 \times 10^{11}$ ; 12.5 ; 0.00737 ; NGC 4257 ; $4.5 \times 10^{9}$ ; 7.5 ; 0.00695 ; 0 ;
; 16.5 ; NGC 4374 ; $5.0 \times 10^{11}$ ; 12.5 ; 0.00354 ; IC 3244 ; $5.5 \times 10^{8}$ ; 3.5 ; 0.00412 ; 1 ;
; 16.5 ; NGC 4429 ; $1.5 \times 10^{11}$ ; 11.5 ; 0.00368 ; IC 3383 ; $3.0 \times 10^{8}$ ; 4.5 ; 0.00312 ; 0 ;
; 16.5 ; NGC 4442 ; $7.0 \times 10^{10}$ ; 10.5 ; 0.00182 ; IC 3414 ; $7.5 \times 10^{8}$ ; 5.0 ; 0.00154 ; 0 ;
; 16.5 ; NGC 4473 ; $8.0 \times 10^{10}$ ; 11.5 ; 0.00748 ; IC 3468 ; $4.0 \times 10^{8}$ ; 6.0 ; 0.00811 ; 1 ;
; 16.5 ; NGC 4550 ; $1.5 \times 10^{10}$ ; 8.0 ; 0.00145 ; IC 3593 ; $2.2 \times 10^{8}$ ; 3.0 ; 0.00192 ; 1 ;
; 20.0 ; NGC 1399 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00475 ; IC 1964 ; $1.1 \times 10^{9}$ ; 4.0 ; 0.00516 ; 1 ;
; 20.0 ; NGC 1316 ; $6.0 \times 10^{11}$ ; 12.0 ; 0.00587 ; NGC 1316C ; $2.0 \times 10^{9}$ ; 5.0 ; 0.00551 ; 0 ;
; 23.0 ; NGC 1407 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00593 ; IC 1982 ; $2.5 \times 10^{9}$ ; 4.5 ; 0.00624 ; 1 ;
; 23.0 ; NGC 1395 ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00573 ; IC 1934 ; $9.0 \times 10^{8}$ ; 3.5 ; 0.00543 ; 0 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; NGC 5045 ; $4.0 \times 10^{10}$ ; 7.5 ; 0.00911 ; 0 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4220 ; $1.5 \times 10^{9}$ ; 4.0 ; 0.00994 ; 1 ;
; 18.6 ; NGC 3992 ; $2.2 \times 10^{11}$ ; 10.0 ; 0.00349 ; NGC 3913 ; $8.5 \times 10^{9}$ ; 5.0 ; 0.00318 ; 0 ;
; 18.6 ; NGC 3953 ; $1.6 \times 10^{11}$ ; 9.0 ; 0.00350 ; NGC 3963 ; $4.5 \times 10^{10}$ ; 6.5 ; 0.00371 ; 1 ;
; 50.0 ; NGC 7619 ; $6.0 \times 10^{11}$ ; 12.5 ; 0.01254 ; NGC 7612 ; $7.0 \times 10^{10}$ ; 9.5 ; 0.01112 ; 0 ;
; 50.0 ; NGC 7626 ; $5.0 \times 10^{11}$ ; 12.0 ; 0.01135 ; NGC 7623 ; $6.5 \times 10^{10}$ ; 10.0 ; 0.01241 ; 1 ;
; 33.0 ; NGC 524 ; $4.2 \times 10^{11}$ ; 12.0 ; 0.00793 ; NGC 522 ; $4.0 \times 10^{10}$ ; 7.5 ; 0.00814 ; 1 ;
; 33.0 ; NGC 524 ; $4.2 \times 10^{11}$ ; 12.0 ; 0.00793 ; NGC 518 ; $1.8 \times 10^{10}$ ; 6.0 ; 0.00803 ; 1 ;
; 33.0 ; NGC 524 ; $4.2 \times 10^{11}$ ; 12.0 ; 0.00793 ; NGC 532 ; $7.0 \times 10^{10}$ ; 8.0 ; 0.00771 ; 0 ;
; 33.0 ; NGC 488 ; $2.5 \times 10^{11}$ ; 10.5 ; 0.00758 ; NGC 488A ; $1.5 \times 10^{9}$ ; 4.5 ; 0.00789 ; 1 ;
; 16.5 ; NGC 4382 ; $4.0 \times 10^{11}$ ; 11.0 ; 0.00243 ; IC 3223 ; $5.0 \times 10^{8}$ ; 4.0 ; 0.00288 ; 1 ;
; 16.5 ; NGC 4459 ; $7.0 \times 10^{10}$ ; 8.5 ; 0.00397 ; IC 3461 ; $3.5 \times 10^{8}$ ; 4.5 ; 0.00334 ; 0 ;
; 16.5 ; NGC 4477 ; $1.0 \times 10^{11}$ ; 11.0 ; 0.00446 ; IC 3523 ; $6.0 \times 10^{8}$ ; 5.5 ; 0.00512 ; 1 ;
; 16.5 ; NGC 4548 ; $1.0 \times 10^{11}$ ; 9.0 ; 0.00162 ; IC 3617 ; $8.0 \times 10^{8}$ ; 3.5 ; 0.00211 ; 1 ;
; 16.5 ; NGC 4569 ; $2.0 \times 10^{11}$ ; 10.5 ; -0.00078 ; IC 3690 ; $1.1 \times 10^{9}$ ; 5.0 ; 0.00125 ; 1 ;
; 16.5 ; NGC 4621 ; $2.0 \times 10^{11}$ ; 12.0 ; 0.00157 ; IC 3709 ; $9.5 \times 10^{8}$ ; 6.0 ; 0.00142 ; 0 ;
; 20.0 ; NGC 1399 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00475 ; IC 1993 ; $3.2 \times 10^{9}$ ; 4.5 ; 0.00494 ; 1 ;
; 20.0 ; NGC 1404 ; $3.0 \times 10^{11}$ ; 12.0 ; 0.00649 ; NGC 1404A ; $8.5 \times 10^{8}$ ; 4.0 ; 0.00611 ; 0 ;
; 23.0 ; NGC 1407 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00593 ; IC 2040 ; $4.0 \times 10^{9}$ ; 5.5 ; 0.00631 ; 1 ;
; 23.0 ; NGC 1395 ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00573 ; IC 1952 ; $1.4 \times 10^{9}$ ; 4.0 ; 0.00588 ; 1 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; NGC 5006 ; $5.5 \times 10^{10}$ ; 9.5 ; 0.00892 ; 0 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4221 ; $2.0 \times 10^{9}$ ; 5.0 ; 0.00977 ; 1 ;
; 18.6 ; NGC 3992 ; $2.2 \times 10^{11}$ ; 10.0 ; 0.00349 ; NGC 3949 ; $3.0 \times 10^{10}$ ; 6.5 ; 0.00267 ; 0 ;
; 18.6 ; NGC 4051 ; $5.0 \times 10^{10}$ ; 8.5 ; 0.00234 ; NGC 4010 ; $2.5 \times 10^{10}$ ; 7.0 ; 0.00294 ; 1 ;
; 50.0 ; NGC 7619 ; $6.0 \times 10^{11}$ ; 12.5 ; 0.01254 ; NGC 7615 ; $2.8 \times 10^{10}$ ; 8.5 ; 0.01299 ; 1 ;
; 50.0 ; NGC 7626 ; $5.0 \times 10^{11}$ ; 12.0 ; 0.01135 ; NGC 7619A ; $1.5 \times 10^{9}$ ; 4.5 ; 0.01110 ; 0 ;
; 20.0 ; NGC 584 ; $3.0 \times 10^{11}$ ; 12.0 ; 0.00601 ; NGC 585 ; $6.0 \times 10^{10}$ ; 9.0 ; 0.00792 ; 1 ;
; 20.0 ; NGC 584 ; $3.0 \times 10^{11}$ ; 12.0 ; 0.00601 ; NGC 596 ; $1.1 \times 10^{11}$ ; 11.0 ; 0.00645 ; 1 ;
; 20.0 ; NGC 584 ; $3.0 \times 10^{11}$ ; 12.0 ; 0.00601 ; NGC 600 ; $1.5 \times 10^{10}$ ; 6.5 ; 0.00531 ; 0 ;
; 20.0 ; NGC 596 ; $1.1 \times 10^{11}$ ; 11.0 ; 0.00645 ; NGC 615 ; $5.5 \times 10^{10}$ ; 8.0 ; 0.00652 ; 1 ;
; 16.5 ; NGC 4473 ; $8.0 \times 10^{10}$ ; 11.5 ; 0.00748 ; IC 3567 ; $3.0 \times 10^{8}$ ; 5.0 ; 0.00823 ; 1 ;
; 16.5 ; NGC 4550 ; $1.5 \times 10^{10}$ ; 8.0 ; 0.00145 ; IC 3605 ; $1.9 \times 10^{8}$ ; 4.0 ; 0.00111 ; 0 ;
; 16.5 ; NGC 4564 ; $3.2 \times 10^{10}$ ; 11.5 ; 0.00381 ; IC 3619 ; $6.5 \times 10^{8}$ ; 4.5 ; 0.00418 ; 1 ;
; 16.5 ; NGC 4606 ; $1.4 \times 10^{10}$ ; 7.0 ; 0.00377 ; IC 3653 ; $1.1 \times 10^{9}$ ; 5.5 ; 0.00310 ; 0 ;
; 16.5 ; NGC 4612 ; $1.2 \times 10^{10}$ ; 9.5 ; 0.00592 ; IC 3662 ; $2.5 \times 10^{8}$ ; 3.5 ; 0.00631 ; 1 ;
; 16.5 ; NGC 4643 ; $8.0 \times 10^{10}$ ; 10.0 ; 0.00445 ; IC 3773 ; $5.0 \times 10^{8}$ ; 4.0 ; 0.00399 ; 0 ;
; 20.0 ; NGC 1399 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00475 ; IC 2006 ; $2.2 \times 10^{10}$ ; 10.5 ; 0.00461 ; 0 ;
; 20.0 ; NGC 1380 ; $1.2 \times 10^{11}$ ; 11.5 ; 0.00626 ; IC 1954 ; $1.4 \times 10^{10}$ ; 6.0 ; 0.00354 ; 0 ;
; 23.0 ; NGC 1407 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00593 ; AGC 131232 ; $4.5 \times 10^{7}$ ; 3.0 ; 0.00612 ; 1 ;
; 23.0 ; NGC 1395 ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00573 ; AGC 130941 ; $6.0 \times 10^{7}$ ; 2.5 ; 0.00643 ; 1 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; NGC 4997 ; $3.8 \times 10^{10}$ ; 9.0 ; 0.00945 ; 1 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4212 ; $1.2 \times 10^{9}$ ; 4.5 ; 0.00899 ; 0 ;
; 18.6 ; NGC 3992 ; $2.2 \times 10^{11}$ ; 10.0 ; 0.00349 ; UGC 6983 ; $9.5 \times 10^{9}$ ; 5.0 ; 0.00362 ; 1 ;
; 18.6 ; NGC 3953 ; $1.6 \times 10^{11}$ ; 9.0 ; 0.00350 ; UGC 6917 ; $1.1 \times 10^{10}$ ; 6.0 ; 0.00311 ; 0 ;
; 50.0 ; NGC 7619 ; $6.0 \times 10^{11}$ ; 12.5 ; 0.01254 ; AGC 331451 ; $8.0 \times 10^{7}$ ; 3.5 ; 0.01314 ; 1 ;
; 50.0 ; NGC 7626 ; $5.0 \times 10^{11}$ ; 12.0 ; 0.01135 ; AGC 331455 ; $5.0 \times 10^{7}$ ; 2.5 ; 0.01095 ; 0 ;
; 25.0 ; NGC 3193 ; $2.0 \times 10^{11}$ ; 11.5 ; 0.00461 ; NGC 3185 ; $3.8 \times 10^{10}$ ; 7.0 ; 0.00406 ; 0 ;
; 25.0 ; NGC 3193 ; $2.0 \times 10^{11}$ ; 11.5 ; 0.00461 ; NGC 3187 ; $1.2 \times 10^{10}$ ; 5.5 ; 0.00527 ; 1 ;
; 25.0 ; NGC 3190 ; $1.5 \times 10^{11}$ ; 10.0 ; 0.00424 ; NGC 3187 ; $1.2 \times 10^{10}$ ; 5.5 ; 0.00527 ; 1 ;
; 16.5 ; NGC 4647 ; $2.0 \times 10^{10}$ ; 5.0 ; 0.00470 ; IC 3806 ; $1.5 \times 10^{8}$ ; 3.5 ; 0.00511 ; 1 ;
; 16.5 ; NGC 4668 ; $5.0 \times 10^{9}$ ; 5.0 ; 0.00531 ; IC 3822 ; $9.0 \times 10^{7}$ ; 3.0 ; 0.00495 ; 0 ;
; 16.5 ; NGC 4257 ; $4.5 \times 10^{9}$ ; 7.5 ; 0.00695 ; VCC 34 ; $8.0 \times 10^{7}$ ; 3.5 ; 0.00732 ; 1 ;
; 16.5 ; NGC 4264 ; $1.0 \times 10^{10}$ ; 9.0 ; 0.00831 ; VCC 57 ; $1.4 \times 10^{8}$ ; 4.0 ; 0.00799 ; 0 ;
; 16.5 ; NGC 4322 ; $1.5 \times 10^{9}$ ; 4.5 ; 0.00550 ; VCC 531 ; $5.0 \times 10^{7}$ ; 3.0 ; 0.00588 ; 1 ;
; 16.5 ; NGC 4340 ; $5.5 \times 10^{10}$ ; 11.0 ; 0.00311 ; VCC 602 ; $2.0 \times 10^{8}$ ; 5.0 ; 0.00362 ; 1 ;
